Timestamp (ART),Red,Tipo de mensaje,Recibido de (nombre de la red),Message
2026-03-11 09:55:20,LinkedIn,Company Mention Post,alanleonelvera,¡Me alegra contarles que he empezado mis estudios de Tecnicatura Universitaria en Programación en Centro de e-Learning UTN FRBA!
2026-03-11 09:00:10,LinkedIn,Company Mention Post,florencia-rondinone-0701667b,"¿Sabemos realmente qué sucede cuando combinamos fármacos junto a otras sustancias? ¿Son los suplementos seguros para todos los pacientes? 🧪⚠️

¡Llegó el día! Damos inicio a nuestro Ciclo de Salud Integral 2026 y los primeros dos temas son críticos: las interacciones y los suplementos. 

🔹 Hoy 17:30 h (Masterclass gratuita): Vamos a desglosar qué aspectos de un fármaco pueden verse afectados por factores que a veces ignoramos en la consulta o el mostrador, si agregamos un segundo fármaco, una planta medicinal o incluso un alimento. Si sos profesional o estudiante de salud, esta herramienta es para vos.

🔹 Mañana 12/03 (Webinar gratuito): Junto a Fernanda Garat analizaremos el ABC de los Suplementos.  ¿Todos los pacientes los pueden consumir? ¿Son siempre necesarios? Responderemos estas preguntas y otros interrogantes más. En un mundo donde el consumo de estos productos crece sin control, el asesoramiento profesional basado en evidencia es nuestra mejor defensa. 

¿Querés ir un paso más allá? Entre la semana que viene y la próxima, iniciaremos las formaciones certificadas por el Centro de e-Learning UTN FRBA para profundizar en estas áreas.

¡Nos vemos esta tarde y mañana en Zoom para jerarquizar nuestra práctica!

#Salud #Farmacia #Suplementos #Nutrición #InteraccionesFarmacologicas"
2026-03-11 08:46:00,LinkedIn,Company Mention Post,mariano-cappuccio-a43b55276,"¡Me alegra contaros que he finalizado mis estudios de Tecnico en Seguridad higiene en Centro de e-Learning UTN FRBA! "
2026-03-11 08:24:50,LinkedIn,Company Mention Post,yasmin-iribarren-logistic2026,"comenzando el año 2026 📖📚 con muchas ganas de aprender y superarme, adquirir herramientas y conocimientos que me permitan crecer tanto en lo personal como en lo profesional Centro de e-Learning UTN FRBA "
2026-03-11 01:27:26,LinkedIn,Company Mention Post,adriana-judith-bernat-2a438424,¡Me alegra contaros que he empezado mis estudios de Tecnicatura en Centro de e-Learning UTN FRBA!
2026-03-10 23:55:19,LinkedIn,Company Mention Post,,"Hola a todos! 👋👋 
Hoy quiero compartir que comencé la Licenciatura en Higiene y Seguridad en el Trabajo en Centro de e-Learning UTN FRBA 

Un nuevo paso en mi formación profesional que me permitirá seguir ampliando conocimientos y fortaleciendo mi compromiso con la prevención de riesgos y la seguridad laboral.

#SeguridadEHigiene #PrevenciónDeRiesgos #UTN #DesarrolloProfesional"
2026-03-10 22:44:29,LinkedIn,Company Mention Post,nicolás-jesús-isaurralde-devcic-4996b21b0,"Estoy feliz de compartir que he certificado como Experto en Project Management en Centro de e-Learning UTN FRBA 🎓✅

Durante todo el proceso de formación intensiva, pude profundizar en metodologías y herramientas clave para la gestión integral de proyectos. Desde la alineación estratégica y la gestión del alcance, hasta el liderazgo adaptativo de equipos y la gestión de calidad bajo estándares internacionales.

Este conocimiento es fundamental para seguir profesionalizando la ejecución y supervisión de obras, asegurando no sólo el cumplimiento de plazos y presupuestos, sino también la entrega de valor real y la satisfacción de los interesados en entornos complejos.

Agradecido con los docentes y compañeros por el intercambio de experiencias. ¡Seguimos sumando herramientas para liderar proyectos con mayor impacto! 🚀

#ProjectManagement #UTN #IngenieriaCivil #Liderazgo #MejoraContinua #GestionDeProyectos
"
2026-03-10 22:40:47,LinkedIn,Company Mention Post,nicolás-jesús-isaurralde-devcic-4996b21b0,"Estoy feliz de compartir que he certificado como Experto en Project Management en Centro de e-Learning UTN FRBA 🎓✅

Durante todo el proceso de formación intensiva, pude profundizar en metodologías y herramientas clave para la gestión integral de proyectos. Desde la alineación estratégica y la gestión del alcance, hasta el liderazgo adaptativo de equipos y la gestión de calidad bajo estándares internacionales.

Este conocimiento es fundamental para seguir profesionalizando la ejecución y supervisión de obras, asegurando no sólo el cumplimiento de plazos y presupuestos, sino también la entrega de valor real y la satisfacción de los interesados en entornos complejos.

Agradecido con los docentes y compañeros por el intercambio de experiencias. ¡Seguimos sumando herramientas para liderar proyectos con mayor impacto! 🚀

#ProjectManagement #UTN #IngenieriaCivil #Liderazgo #MejoraContinua #GestionDeProyectos"
2026-03-10 20:39:24,LinkedIn,Company Comment,Gustavo Damian Otero,"Centro de e-Learning UTN FRBA 👍, les escribí por Instagram y WhatsApp"
2026-03-10 20:09:28,LinkedIn,Company Mention Post,dante-hartmann-2a519930b,¡Me alegra contaros que he empezado mis estudios de Tecnicatura en Centro de e-Learning UTN FRBA!
